time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-26T19:51:05.890Z,54.5766,-159.7243,16.31,4.4,mb,,158,0.266,1.12,us,us6000cdg8,2020-10-26T23:19:49.936Z,"98 km SSE of Sand Point, Alaska",earthquake,4.6,6.9,0.19,8,reviewed,us,us
2020-10-26T17:04:57.041Z,38.1112,-118.1524,1.8,2.6,ml,27,73.19,0.093,0.1706,nn,nn00780454,2020-10-26T21:01:00.040Z,"31 km S of Mina, Nevada",earthquake,,0.8,0.44,14,reviewed,nn,nn
2020-10-26T16:23:51.727Z,60.0075,-152.5686,99.5,2.6,ml,,,,0.42,ak,ak020dsew366,2020-10-26T16:52:34.655Z,"47 km W of Happy Valley, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-10-26T14:13:01.188Z,54.0582,-159.6313,15.59,4.3,mb,,92,0.774,0.47,us,us6000cdam,2020-10-26T17:26:55.197Z,"152 km SSE of Sand Point, Alaska",earthquake,5.2,6.7,0.126,18,reviewed,us,us
2020-10-26T14:03:24.036Z,62.0797,-152.0343,157.1,2.5,ml,,,,1.14,ak,ak020dsdkvnp,2020-10-26T14:07:02.687Z,"34 km WNW of Skwentna, Alaska",earthquake,,1.2,,,automatic,ak,ak
2020-10-26T13:38:36.600Z,38.5575,-122.306,9.35,3.46,mw,125,101,0.04457,0.15,nc,nc73475311,2020-10-27T19:43:31.360Z,"13km E of Angwin, CA",earthquake,0.18,0.28,,3,reviewed,nc,nc
2020-10-26T10:41:32.598Z,38.1566,-117.8779,8.3,2.7,ml,33,41.14,0.005,0.1402,nn,nn00780428,2020-10-27T09:36:02.040Z,"32 km SE of Mina, Nevada",earthquake,,0.5,0.18,19,reviewed,nn,nn
2020-10-26T09:28:32.508Z,44.5842,-115.2489,8.3,2.9,ml,,47,0.49,1.12,us,us6000cd8v,2020-10-27T07:38:17.448Z,"46 km SSE of Yellow Pine, Idaho",earthquake,4,10.5,0.055,44,reviewed,us,us
2020-10-26T09:25:11.462Z,54.9466,-160.3852,45.32,4.9,mb,,152,0.407,0.87,us,us6000cd8r,2020-10-26T18:07:43.040Z,"44 km S of Sand Point, Alaska",earthquake,6.6,6.5,0.063,80,reviewed,us,us
2020-10-26T08:25:23.779Z,63.2582,-143.2785,2.8,2.9,ml,,,,0.98,ak,ak020dsa4zqk,2020-10-26T20:20:47.197Z,"Central Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-10-26T07:53:03.792Z,63.2252,-143.4075,5.2,4.1,ml,,,,0.66,ak,ak020ds9pinu,2020-10-29T23:35:19.873Z,"Central Alaska",earthquake,,0.1,,,reviewed,ak,ak
2020-10-26T07:40:17.236Z,54.4691,-159.8437,21.02,4.6,mb,,155,0.391,0.86,us,us6000cd7z,2020-10-26T16:52:34.312Z,"105 km SSE of Sand Point, Alaska",earthquake,2.2,5.1,0.059,86,reviewed,us,us
2020-10-26T07:24:21.030Z,34.8645,-116.3396667,5.08,2.63,ml,42,71,0.03523,0.13,ci,ci39445087,2020-10-26T20:43:42.654Z,"23km NW of Ludlow, CA",earthquake,0.12,0.34,0.109,23,reviewed,ci,ci
